Order ID,Order Date,Month,Quarter,Year,Customer Name,Customer Email,City,State,Product ID,Product Name,Category,Sub-Category,Brand,Unit Price (?),Quantity,Discount (%),Discount Amount (?),Sale Price per Unit (?),Gross Revenue (?),Net Revenue (?),Shipping Cost (?),Total Order Value (?),Profit Margin (%),Profit (?),Payment Method,Sales Channel,Device Type,Order Status,Customer Rating,Repeat Customer
ORD-10703,2024-01-05,January,Q1,2024,Arjun Nair,arjun.nair@gmail.com,Kochi,Kerala,P015,Fastrack Analog Watch,Fashion,Accessories,Fastrack,1795,1,0,0,1795,1795,1795,0,1795,15.6,280.02,UPI,Paid Ads,Desktop,Pending,,Yes
ORD-10402,2024-01-05,January,Q1,2024,Manish Tiwari,manish.tiwari@gmail.com,Bhopal,Madhya Pradesh,P018,IKEA LACK Side Table,Home & Kitchen,Furniture,IKEA,2499,2,5,249.9,2374.05,4998,4748.1,0,4748.1,15.8,750.2,UPI,Social Media,Desktop,Delivered,2.9,Yes
ORD-10088,2024-01-05,January,Q1,2024,Rohan Joshi,rohan.joshi@gmail.com,Surat,Gujarat,P009,Levi's Men's Slim Fit Jeans,Fashion,Men's Clothing,Levi's,1999,1,15,299.85,1699.15,1999,1699.15,0,1699.15,28.1,477.46,Credit Card,Direct,Tablet,Delivered,3.2,No
ORD-11034,2024-01-06,January,Q1,2024,Rohit Kapoor,rohit.kapoor@gmail.com,Amritsar,Punjab,P016,Prestige Iris 750W Mixer,Home & Kitchen,Appliances,Prestige,2899,1,0,0,2899,2899,2899,0,2899,20.7,600.09,Debit Card,Organic Search,Mobile,Pending,,Yes
ORD-10226,2024-01-06,January,Q1,2024,Meera Pillai,meera.pillai@gmail.com,Thiruvananthapuram,Kerala,P004,HP Pavilion Laptop 15,Electronics,Laptops,HP,52999,1,0,0,52999,52999,52999,0,52999,28.2,14945.72,UPI,Direct,Mobile,Delivered,3.7,No
ORD-10338,2024-01-06,January,Q1,2024,Kavita Reddy,kavita.reddy@gmail.com,Visakhapatnam,Andhra Pradesh,P002,Redmi Note 13,Electronics,Mobiles,Xiaomi,15999,2,0,0,15999,31998,31998,0,31998,30.9,9887.38,UPI,Email Campaign,Mobile,Cancelled,,Yes
ORD-11266,2024-01-06,January,Q1,2024,Kavita Reddy,kavita.reddy@gmail.com,Visakhapatnam,Andhra Pradesh,P002,Redmi Note 13,Electronics,Mobiles,Xiaomi,15999,4,25,15999,11999.25,63996,47997,0,47997,16.2,7775.51,UPI,Direct,Mobile,Delivered,3,Yes
ORD-10714,2024-01-06,January,Q1,2024,Ritu Agarwal,ritu.agarwal@yahoo.com,Indore,Madhya Pradesh,P020,Bajaj Majesty 1000TSS Iron,Home & Kitchen,Appliances,Bajaj,899,1,10,89.9,809.1,899,809.1,0,809.1,19.6,158.58,Debit Card,Organic Search,Desktop,Returned,,Yes
ORD-11043,2024-01-06,January,Q1,2024,Sonali Dutta,sonali.dutta@gmail.com,Siliguri,West Bengal,P024,Wow Skin Science Shampoo,Beauty & Health,Haircare,WOW,449,1,5,22.45,426.55,449,426.55,40,466.55,13.3,56.73,Cash on Delivery,Paid Ads,Tablet,Returned,,No
ORD-10671,2024-01-06,January,Q1,2024,Aditya Kumar,aditya.kumar@yahoo.com,Patna,Bihar,P005,Lenovo IdeaPad Slim 3,Electronics,Laptops,Lenovo,42999,2,10,8599.8,38699.1,85998,77398.2,0,77398.2,9.9,7662.42,Net Banking,Paid Ads,Mobile,Delivered,3.5,Yes
ORD-10262,2024-01-07,January,Q1,2024,Amit Sharma,amit.sharma@gmail.com,Mumbai,Maharashtra,P002,Redmi Note 13,Electronics,Mobiles,Xiaomi,15999,1,10,1599.9,14399.1,15999,14399.1,0,14399.1,18.3,2635.04,Net Banking,Referral,Desktop,Delivered,4.8,No
ORD-11264,2024-01-07,January,Q1,2024,Amit Sharma,amit.sharma@gmail.com,Mumbai,Maharashtra,P010,Allen Solly Women's Blazer,Fashion,Women's Clothing,Allen Solly,2499,1,0,0,2499,2499,2499,0,2499,17,424.83,Debit Card,Social Media,Mobile,Delivered,3.5,No
ORD-10428,2024-01-07,January,Q1,2024,Rohit Kapoor,rohit.kapoor@gmail.com,Amritsar,Punjab,P013,H&M Floral Dress,Fashion,Women's Clothing,H&M,1299,1,20,259.8,1039.2,1299,1039.2,0,1039.2,14.7,152.76,Debit Card,Paid Ads,Mobile,Cancelled,,No
ORD-11236,2024-01-07,January,Q1,2024,Ankur Pandey,ankur.pandey@gmail.com,Varanasi,Uttar Pradesh,P015,Fastrack Analog Watch,Fashion,Accessories,Fastrack,1795,5,15,1346.25,1525.75,8975,7628.75,0,7628.75,16.6,1266.37,Debit Card,Email Campaign,Desktop,Cancelled,,No
ORD-10199,2024-01-08,January,Q1,2024,Divya Krishnan,divya.krishnan@gmail.com,Chennai,Tamil Nadu,P030,Cosco Volleyball,Toys & Sports,Sports,Cosco,599,1,0,0,599,599,599,0,599,28,167.72,Cash on Delivery,Social Media,Desktop,Cancelled,,No
ORD-10700,2024-01-09,January,Q1,2024,Kavita Reddy,kavita.reddy@gmail.com,Visakhapatnam,Andhra Pradesh,P011,Nike Air Max 270,Fashion,Footwear,Nike,7495,3,0,0,7495,22485,22485,0,22485,32.9,7397.56,UPI,Organic Search,Mobile,Returned,,No
ORD-10192,2024-01-09,January,Q1,2024,Sonali Dutta,sonali.dutta@gmail.com,Siliguri,West Bengal,P029,Funskool Ludo Star Board Game,Toys & Sports,Games,Funskool,349,1,0,0,349,349,349,40,389,24,83.76,Cash on Delivery,Direct,Mobile,Delivered,2.6,No
ORD-11372,2024-01-09,January,Q1,2024,Deepak Chauhan,deepak.chauhan@gmail.com,Dehradun,Uttarakhand,P012,Puma Men's Running Shoes,Fashion,Footwear,Puma,3499,5,25,4373.75,2624.25,17495,13121.25,0,13121.25,25.5,3345.92,Wallet,Social Media,Desktop,Delivered,2.7,No
ORD-10860,2024-01-09,January,Q1,2024,Amit Sharma,amit.sharma@gmail.com,Mumbai,Maharashtra,P007,Mi Smart Band 8,Electronics,Wearables,Xiaomi,2999,1,10,299.9,2699.1,2999,2699.1,0,2699.1,11.6,313.1,UPI,Email Campaign,Desktop,Delivered,4.4,Yes
ORD-11329,2024-01-09,January,Q1,2024,Arjun Nair,arjun.nair@gmail.com,Kochi,Kerala,P025,Oziva Protein Powder 500g,Beauty & Health,Nutrition,Oziva,1299,1,20,259.8,1039.2,1299,1039.2,0,1039.2,28.3,294.09,Debit Card,Direct,Mobile,Delivered,4.5,No
ORD-10979,2024-01-10,January,Q1,2024,Rohan Joshi,rohan.joshi@gmail.com,Surat,Gujarat,P016,Prestige Iris 750W Mixer,Home & Kitchen,Appliances,Prestige,2899,3,5,434.85,2754.05,8697,8262.15,0,8262.15,9.2,760.12,Credit Card,Organic Search,Mobile,Delivered,3.3,No
ORD-11079,2024-01-10,January,Q1,2024,Meera Pillai,meera.pillai@gmail.com,Thiruvananthapuram,Kerala,P007,Mi Smart Band 8,Electronics,Wearables,Xiaomi,2999,2,15,899.7,2549.15,5998,5098.3,0,5098.3,15.4,785.14,Debit Card,Social Media,Mobile,Delivered,3.1,No
ORD-10750,2024-01-10,January,Q1,2024,Neha Gupta,neha.gupta@hotmail.com,Lucknow,Uttar Pradesh,P027,The Psychology of Money,Books & Stationery,Books,Jaico,349,2,0,0,349,698,698,0,698,11.4,79.57,Debit Card,Organic Search,Mobile,Cancelled,,Yes
ORD-11244,2024-01-10,January,Q1,2024,Shreya Bose,shreya.bose@gmail.com,Bhubaneswar,Odisha,P003,boAt Rockerz 450,Electronics,Audio,boAt,1299,1,10,129.9,1169.1,1299,1169.1,0,1169.1,13.7,160.17,Cash on Delivery,Organic Search,Mobile,Delivered,4.8,No
ORD-10689,2024-01-10,January,Q1,2024,Shreya Bose,shreya.bose@gmail.com,Bhubaneswar,Odisha,P017,Philips Air Fryer HD9200,Home & Kitchen,Appliances,Philips,6999,1,25,1749.75,5249.25,6999,5249.25,0,5249.25,12.9,677.15,UPI,Social Media,Desktop,Delivered,4.7,No
ORD-10759,2024-01-11,January,Q1,2024,Amit Sharma,amit.sharma@gmail.com,Mumbai,Maharashtra,P008,JBL Flip 6,Electronics,Audio,JBL,8999,2,25,4499.5,6749.25,17998,13498.5,0,13498.5,16.3,2200.26,Debit Card,Social Media,Mobile,Cancelled,,No
ORD-11217,2024-01-11,January,Q1,2024,Rahul Verma,rahul.verma@outlook.com,Delhi,Delhi,P003,boAt Rockerz 450,Electronics,Audio,boAt,1299,1,20,259.8,1039.2,1299,1039.2,0,1039.2,9.4,97.68,Cash on Delivery,Paid Ads,Mobile,Cancelled,,Yes
ORD-10646,2024-01-11,January,Q1,2024,Rohan Joshi,rohan.joshi@gmail.com,Surat,Gujarat,P003,boAt Rockerz 450,Electronics,Audio,boAt,1299,3,0,0,1299,3897,3897,0,3897,29,1130.13,Debit Card,Social Media,Mobile,Delivered,3.7,No
ORD-10187,2024-01-12,January,Q1,2024,Divya Krishnan,divya.krishnan@gmail.com,Chennai,Tamil Nadu,P024,Wow Skin Science Shampoo,Beauty & Health,Haircare,WOW,449,1,20,89.8,359.2,449,359.2,40,399.2,28.1,100.94,UPI,Organic Search,Mobile,Returned,,No
ORD-11089,2024-01-12,January,Q1,2024,Swati Bhatt,swati.bhatt@gmail.com,Rajkot,Gujarat,P014,Peter England Formal Shirt,Fashion,Men's Clothing,Peter England,899,1,0,0,899,899,899,0,899,23.4,210.37,UPI,Organic Search,Desktop,Delivered,4.7,No
ORD-11318,2024-01-12,January,Q1,2024,Rahul Verma,rahul.verma@outlook.com,Delhi,Delhi,P015,Fastrack Analog Watch,Fashion,Accessories,Fastrack,1795,1,5,89.75,1705.25,1795,1705.25,0,1705.25,18.3,312.06,Cash on Delivery,Social Media,Mobile,Delivered,3.1,Yes
ORD-10527,2024-01-13,January,Q1,2024,Arjun Nair,arjun.nair@gmail.com,Kochi,Kerala,P002,Redmi Note 13,Electronics,Mobiles,Xiaomi,15999,2,0,0,15999,31998,31998,0,31998,24,7679.52,Debit Card,Organic Search,Mobile,Pending,,No
ORD-10001,2024-01-13,January,Q1,2024,Suresh Menon,suresh.menon@gmail.com,Coimbatore,Tamil Nadu,P004,HP Pavilion Laptop 15,Electronics,Laptops,HP,52999,2,0,0,52999,105998,105998,0,105998,11.8,12507.76,Credit Card,Social Media,Desktop,Delivered,2.6,Yes
ORD-11376,2024-01-14,January,Q1,2024,Meera Pillai,meera.pillai@gmail.com,Thiruvananthapuram,Kerala,P001,Samsung Galaxy M34,Electronics,Mobiles,Samsung,18999,5,5,4749.75,18049.05,94995,90245.25,0,90245.25,27.2,24546.71,Debit Card,Referral,Desktop,Pending,,No
ORD-10980,2024-01-14,January,Q1,2024,Ananya Das,ananya.das@outlook.com,Kolkata,West Bengal,P030,Cosco Volleyball,Toys & Sports,Sports,Cosco,599,3,20,359.4,479.2,1797,1437.6,0,1437.6,17.1,245.83,Debit Card,Organic Search,Mobile,Cancelled,,Yes
ORD-10167,2024-01-14,January,Q1,2024,Ankur Pandey,ankur.pandey@gmail.com,Varanasi,Uttar Pradesh,P021,Pigeon Non-Stick Cookware Set,Home & Kitchen,Kitchen,Pigeon,1299,1,5,64.95,1234.05,1299,1234.05,0,1234.05,25.7,317.15,UPI,Direct,Mobile,Pending,,No
ORD-11138,2024-01-14,January,Q1,2024,Amit Sharma,amit.sharma@gmail.com,Mumbai,Maharashtra,P026,Atomic Habits — James Clear,Books & Stationery,Books,Penguin,399,1,25,99.75,299.25,399,299.25,40,339.25,8.9,26.63,UPI,Email Campaign,Mobile,Pending,,No
ORD-11437,2024-01-14,January,Q1,2024,Shreya Bose,shreya.bose@gmail.com,Bhubaneswar,Odisha,P011,Nike Air Max 270,Fashion,Footwear,Nike,7495,1,20,1499,5996,7495,5996,0,5996,19,1139.24,Cash on Delivery,Social Media,Desktop,Delivered,3.8,Yes
ORD-10862,2024-01-14,January,Q1,2024,Rohan Joshi,rohan.joshi@gmail.com,Surat,Gujarat,P024,Wow Skin Science Shampoo,Beauty & Health,Haircare,WOW,449,2,10,89.8,404.1,898,808.2,0,808.2,9.5,76.78,Credit Card,Direct,Desktop,Delivered,2.9,Yes
ORD-10467,2024-01-14,January,Q1,2024,Vikram Singh,vikram.singh@gmail.com,Jaipur,Rajasthan,P006,Canon EOS 1500D,Electronics,Cameras,Canon,34999,2,15,10499.7,29749.15,69998,59498.3,0,59498.3,15.2,9043.74,UPI,Organic Search,Desktop,Delivered,3.4,No
ORD-10549,2024-01-15,January,Q1,2024,Neha Gupta,neha.gupta@hotmail.com,Lucknow,Uttar Pradesh,P026,Atomic Habits — James Clear,Books & Stationery,Books,Penguin,399,1,0,0,399,399,399,40,439,32.2,128.48,UPI,Direct,Mobile,Cancelled,,No
ORD-10156,2024-01-15,January,Q1,2024,Rohit Kapoor,rohit.kapoor@gmail.com,Amritsar,Punjab,P028,Classmate Premium A4 Notebook,Books & Stationery,Stationery,Classmate,149,1,25,37.25,111.75,149,111.75,40,151.75,28.8,32.18,Credit Card,Organic Search,Desktop,Delivered,2.6,No
ORD-10917,2024-01-15,January,Q1,2024,Kavita Reddy,kavita.reddy@gmail.com,Visakhapatnam,Andhra Pradesh,P004,HP Pavilion Laptop 15,Electronics,Laptops,HP,52999,1,20,10599.8,42399.2,52999,42399.2,0,42399.2,11.7,4960.71,Debit Card,Email Campaign,Mobile,Pending,,Yes
ORD-10753,2024-01-15,January,Q1,2024,Amit Sharma,amit.sharma@gmail.com,Mumbai,Maharashtra,P014,Peter England Formal Shirt,Fashion,Men's Clothing,Peter England,899,5,5,224.75,854.05,4495,4270.25,0,4270.25,13.2,563.67,Cash on Delivery,Organic Search,Desktop,Returned,,No
ORD-10366,2024-01-16,January,Q1,2024,Rohit Kapoor,rohit.kapoor@gmail.com,Amritsar,Punjab,P022,Himalaya Face Wash 150ml,Beauty & Health,Skincare,Himalaya,180,1,10,18,162,180,162,40,202,11.7,18.95,Credit Card,Social Media,Tablet,Delivered,2.9,No
ORD-10510,2024-01-16,January,Q1,2024,Divya Krishnan,divya.krishnan@gmail.com,Chennai,Tamil Nadu,P028,Classmate Premium A4 Notebook,Books & Stationery,Stationery,Classmate,149,1,15,22.35,126.65,149,126.65,40,166.65,18.6,23.56,Credit Card,Paid Ads,Mobile,Delivered,4.2,No
ORD-11270,2024-01-16,January,Q1,2024,Ritu Agarwal,ritu.agarwal@yahoo.com,Indore,Madhya Pradesh,P013,H&M Floral Dress,Fashion,Women's Clothing,H&M,1299,1,10,129.9,1169.1,1299,1169.1,0,1169.1,20.6,240.83,Cash on Delivery,Organic Search,Desktop,Delivered,4.9,No
ORD-10308,2024-01-16,January,Q1,2024,Sneha Iyer,sneha.iyer@gmail.com,Bangalore,Karnataka,P022,Himalaya Face Wash 150ml,Beauty & Health,Skincare,Himalaya,180,1,10,18,162,180,162,40,202,20,32.4,Credit Card,Paid Ads,Mobile,Pending,,No
ORD-11091,2024-01-16,January,Q1,2024,Divya Krishnan,divya.krishnan@gmail.com,Chennai,Tamil Nadu,P003,boAt Rockerz 450,Electronics,Audio,boAt,1299,1,10,129.9,1169.1,1299,1169.1,0,1169.1,14.6,170.69,Net Banking,App,Tablet,Returned,,No
ORD-10427,2024-01-17,January,Q1,2024,Aditya Kumar,aditya.kumar@yahoo.com,Patna,Bihar,P023,Mamaearth Vitamin C Serum,Beauty & Health,Skincare,Mamaearth,599,1,20,119.8,479.2,599,479.2,40,519.2,33.7,161.49,UPI,Social Media,Mobile,Delivered,3,No
ORD-11283,2024-01-17,January,Q1,2024,Ritu Agarwal,ritu.agarwal@yahoo.com,Indore,Madhya Pradesh,P016,Prestige Iris 750W Mixer,Home & Kitchen,Appliances,Prestige,2899,1,5,144.95,2754.05,2899,2754.05,0,2754.05,14.9,410.35,Debit Card,Social Media,Desktop,Delivered,3.6,No
ORD-10146,2024-01-18,January,Q1,2024,Tanvi Shah,tanvi.shah@gmail.com,Vadodara,Gujarat,P015,Fastrack Analog Watch,Fashion,Accessories,Fastrack,1795,1,0,0,1795,1795,1795,0,1795,25.4,455.93,UPI,Referral,Mobile,Delivered,3.6,No
ORD-11254,2024-01-18,January,Q1,2024,Karan Malhotra,karan.malhotra@gmail.com,Chandigarh,Punjab,P020,Bajaj Majesty 1000TSS Iron,Home & Kitchen,Appliances,Bajaj,899,2,5,89.9,854.05,1798,1708.1,0,1708.1,28.4,485.1,Debit Card,Paid Ads,Desktop,Delivered,3.7,No
ORD-10805,2024-01-18,January,Q1,2024,Nidhi Saxena,nidhi.saxena@hotmail.com,Agra,Uttar Pradesh,P009,Levi's Men's Slim Fit Jeans,Fashion,Men's Clothing,Levi's,1999,1,0,0,1999,1999,1999,0,1999,16.1,321.84,Wallet,Organic Search,Desktop,Pending,,Yes
ORD-11057,2024-01-18,January,Q1,2024,Ritu Agarwal,ritu.agarwal@yahoo.com,Indore,Madhya Pradesh,P019,Milton Thermosteel Flask 1L,Home & Kitchen,Kitchen,Milton,599,1,0,0,599,599,599,0,599,17.7,106.02,Credit Card,Organic Search,Mobile,Pending,,No
ORD-10419,2024-01-18,January,Q1,2024,Neha Gupta,neha.gupta@hotmail.com,Lucknow,Uttar Pradesh,P001,Samsung Galaxy M34,Electronics,Mobiles,Samsung,18999,2,20,7599.6,15199.2,37998,30398.4,0,30398.4,16.8,5106.93,Credit Card,App,Mobile,Delivered,3.6,No
ORD-11010,2024-01-19,January,Q1,2024,Gaurav Mishra,gaurav.mishra@yahoo.com,Guwahati,Assam,P021,Pigeon Non-Stick Cookware Set,Home & Kitchen,Kitchen,Pigeon,1299,4,15,779.4,1104.15,5196,4416.6,0,4416.6,14.6,644.82,UPI,Email Campaign,Mobile,Returned,,No
ORD-10888,2024-01-19,January,Q1,2024,Deepak Chauhan,deepak.chauhan@gmail.com,Dehradun,Uttarakhand,P004,HP Pavilion Laptop 15,Electronics,Laptops,HP,52999,1,30,15899.7,37099.3,52999,37099.3,0,37099.3,19.3,7160.16,UPI,Organic Search,Mobile,Delivered,4.9,No
ORD-10480,2024-01-19,January,Q1,2024,Suresh Menon,suresh.menon@gmail.com,Coimbatore,Tamil Nadu,P012,Puma Men's Running Shoes,Fashion,Footwear,Puma,3499,1,0,0,3499,3499,3499,0,3499,23.6,825.76,UPI,Paid Ads,Mobile,Returned,,No
ORD-10177,2024-01-20,January,Q1,2024,Swati Bhatt,swati.bhatt@gmail.com,Rajkot,Gujarat,P028,Classmate Premium A4 Notebook,Books & Stationery,Stationery,Classmate,149,3,0,0,149,447,447,40,487,31.8,142.15,Wallet,Email Campaign,Mobile,Delivered,3.7,No
ORD-11479,2024-01-20,January,Q1,2024,Vikram Singh,vikram.singh@gmail.com,Jaipur,Rajasthan,P029,Funskool Ludo Star Board Game,Toys & Sports,Games,Funskool,349,3,20,209.4,279.2,1047,837.6,0,837.6,33.7,282.27,Net Banking,Organic Search,Mobile,Returned,,No
ORD-10761,2024-01-21,January,Q1,2024,Karan Malhotra,karan.malhotra@gmail.com,Chandigarh,Punjab,P021,Pigeon Non-Stick Cookware Set,Home & Kitchen,Kitchen,Pigeon,1299,1,30,389.7,909.3,1299,909.3,0,909.3,25.5,231.87,Net Banking,Organic Search,Mobile,Delivered,3.1,No
ORD-10383,2024-01-21,January,Q1,2024,Suresh Menon,suresh.menon@gmail.com,Coimbatore,Tamil Nadu,P017,Philips Air Fryer HD9200,Home & Kitchen,Appliances,Philips,6999,3,0,0,6999,20997,20997,0,20997,12.5,2624.62,Credit Card,Paid Ads,Tablet,Pending,,No
ORD-11379,2024-01-21,January,Q1,2024,Nikhil Desai,nikhil.desai@outlook.com,Nagpur,Maharashtra,P030,Cosco Volleyball,Toys & Sports,Sports,Cosco,599,1,20,119.8,479.2,599,479.2,40,519.2,10.5,50.32,UPI,Social Media,Mobile,Delivered,4.9,Yes
ORD-11129,2024-01-21,January,Q1,2024,Nidhi Saxena,nidhi.saxena@hotmail.com,Agra,Uttar Pradesh,P020,Bajaj Majesty 1000TSS Iron,Home & Kitchen,Appliances,Bajaj,899,2,10,179.8,809.1,1798,1618.2,0,1618.2,33.8,546.95,UPI,Paid Ads,Mobile,Delivered,3.3,No
ORD-10090,2024-01-21,January,Q1,2024,Suresh Menon,suresh.menon@gmail.com,Coimbatore,Tamil Nadu,P021,Pigeon Non-Stick Cookware Set,Home & Kitchen,Kitchen,Pigeon,1299,1,10,129.9,1169.1,1299,1169.1,0,1169.1,23.6,275.91,UPI,Organic Search,Desktop,Cancelled,,Yes
ORD-10842,2024-01-21,January,Q1,2024,Pooja Mehta,pooja.mehta@gmail.com,Pune,Maharashtra,P010,Allen Solly Women's Blazer,Fashion,Women's Clothing,Allen Solly,2499,2,25,1249.5,1874.25,4998,3748.5,0,3748.5,15.5,581.02,UPI,Email Campaign,Tablet,Delivered,5,Yes
ORD-10472,2024-01-21,January,Q1,2024,Rohan Joshi,rohan.joshi@gmail.com,Surat,Gujarat,P024,Wow Skin Science Shampoo,Beauty & Health,Haircare,WOW,449,1,10,44.9,404.1,449,404.1,40,444.1,25,101.03,Credit Card,Organic Search,Mobile,Delivered,4.6,No
ORD-10070,2024-01-21,January,Q1,2024,Rahul Verma,rahul.verma@outlook.com,Delhi,Delhi,P020,Bajaj Majesty 1000TSS Iron,Home & Kitchen,Appliances,Bajaj,899,3,15,404.55,764.15,2697,2292.45,0,2292.45,24.3,557.07,Debit Card,Organic Search,Desktop,Delivered,4,Yes
ORD-11075,2024-01-21,January,Q1,2024,Deepak Chauhan,deepak.chauhan@gmail.com,Dehradun,Uttarakhand,P015,Fastrack Analog Watch,Fashion,Accessories,Fastrack,1795,1,5,89.75,1705.25,1795,1705.25,0,1705.25,12,204.63,Cash on Delivery,Direct,Mobile,Pending,,No
ORD-10538,2024-01-22,January,Q1,2024,Karan Malhotra,karan.malhotra@gmail.com,Chandigarh,Punjab,P026,Atomic Habits — James Clear,Books & Stationery,Books,Penguin,399,1,0,0,399,399,399,40,439,25.7,102.54,Cash on Delivery,Referral,Mobile,Delivered,4.4,Yes
